2021-03-20-10-29: epoch: 1 |loss 4.165117 | hm_loss 0.765489 | wh_loss 1.660483 | off_loss 0.063259 | id_loss 2.242470 | time 9.933333 | 
2021-03-20-10-38: epoch: 2 |loss 2.489538 | hm_loss 0.603809 | wh_loss 0.854496 | off_loss 0.054844 | id_loss 2.278734 | time 9.633333 | 
2021-03-20-10-48: epoch: 3 |loss 1.185058 | hm_loss 0.525512 | wh_loss 0.686556 | off_loss 0.050821 | id_loss 1.424532 | time 9.633333 | 
2021-03-20-10-58: epoch: 4 |loss 0.732700 | hm_loss 0.497000 | wh_loss 0.651338 | off_loss 0.049191 | id_loss 0.912457 | time 9.683333 | 
2021-03-20-11-07: epoch: 5 |loss 0.491130 | hm_loss 0.478827 | wh_loss 0.631140 | off_loss 0.048335 | id_loss 0.594497 | time 9.666667 | 
2021-03-20-11-17: epoch: 6 |loss 0.309601 | hm_loss 0.472972 | wh_loss 0.636198 | off_loss 0.047840 | id_loss 0.409539 | time 9.650000 | 
2021-03-20-11-27: epoch: 7 |loss 0.150699 | hm_loss 0.465345 | wh_loss 0.634518 | off_loss 0.047765 | id_loss 0.298627 | time 9.666667 | 
2021-03-20-11-36: epoch: 8 |loss 0.021416 | hm_loss 0.462121 | wh_loss 0.630146 | off_loss 0.047551 | id_loss 0.231876 | time 9.700000 | 
2021-03-20-11-46: epoch: 9 |loss -0.068143 | hm_loss 0.462834 | wh_loss 0.636270 | off_loss 0.047258 | id_loss 0.196204 | time 9.666667 | 
2021-03-20-11-56: epoch: 10 |loss -0.164649 | hm_loss 0.457864 | wh_loss 0.629532 | off_loss 0.046686 | id_loss 0.163695 | time 9.633333 | 
2021-03-20-12-05: epoch: 11 |loss -0.244816 | hm_loss 0.454839 | wh_loss 0.621822 | off_loss 0.046848 | id_loss 0.140768 | time 9.633333 | 
2021-03-20-12-15: epoch: 12 |loss -0.300150 | hm_loss 0.455388 | wh_loss 0.633361 | off_loss 0.046361 | id_loss 0.126932 | time 9.633333 | 
2021-03-20-12-25: epoch: 13 |loss -0.371344 | hm_loss 0.452175 | wh_loss 0.634394 | off_loss 0.046639 | id_loss 0.110261 | time 9.683333 | 
2021-03-20-12-34: epoch: 14 |loss -0.416355 | hm_loss 0.452293 | wh_loss 0.632260 | off_loss 0.046471 | id_loss 0.101752 | time 9.583333 | 
2021-03-20-12-44: epoch: 15 |loss -0.466053 | hm_loss 0.450692 | wh_loss 0.646887 | off_loss 0.046602 | id_loss 0.092140 | time 9.683333 | 
2021-03-20-12-54: epoch: 16 |loss -0.512849 | hm_loss 0.449091 | wh_loss 0.649807 | off_loss 0.046730 | id_loss 0.084125 | time 9.750000 | 
2021-03-20-13-04: epoch: 17 |loss -0.529704 | hm_loss 0.449889 | wh_loss 0.639658 | off_loss 0.046487 | id_loss 0.082301 | time 9.633333 | 
2021-03-20-13-13: epoch: 18 |loss -0.590336 | hm_loss 0.445330 | wh_loss 0.639131 | off_loss 0.046190 | id_loss 0.072838 | time 9.616667 | 
2021-03-20-13-23: epoch: 19 |loss -0.620516 | hm_loss 0.444428 | wh_loss 0.634605 | off_loss 0.045936 | id_loss 0.069090 | time 9.650000 | 
2021-03-20-13-32: epoch: 20 |loss -0.658317 | hm_loss 0.441652 | wh_loss 0.631192 | off_loss 0.045585 | id_loss 0.064428 | time 9.650000 | 
2021-03-20-13-42: epoch: 21 |loss -0.702113 | hm_loss 0.437419 | wh_loss 0.626354 | off_loss 0.045605 | id_loss 0.059359 | time 9.666667 | 
2021-03-20-13-52: epoch: 22 |loss -0.736530 | hm_loss 0.432321 | wh_loss 0.611871 | off_loss 0.045482 | id_loss 0.056210 | time 9.650000 | 
2021-03-20-14-02: epoch: 23 |loss -0.752719 | hm_loss 0.431261 | wh_loss 0.620780 | off_loss 0.045482 | id_loss 0.054737 | time 9.666667 | 
2021-03-20-14-11: epoch: 24 |loss -0.787041 | hm_loss 0.428374 | wh_loss 0.610332 | off_loss 0.045393 | id_loss 0.051372 | time 9.666667 | 
2021-03-20-14-21: epoch: 25 |loss -0.837539 | hm_loss 0.426604 | wh_loss 0.586527 | off_loss 0.045008 | id_loss 0.046408 | time 9.633333 | 
2021-03-20-14-30: epoch: 26 |loss -0.856961 | hm_loss 0.424470 | wh_loss 0.607886 | off_loss 0.045068 | id_loss 0.044864 | time 9.633333 | 
2021-03-20-14-40: epoch: 27 |loss -0.915211 | hm_loss 0.424577 | wh_loss 0.598273 | off_loss 0.044987 | id_loss 0.039354 | time 9.683333 | 
2021-03-20-14-50: epoch: 28 |loss -0.909240 | hm_loss 0.420701 | wh_loss 0.591583 | off_loss 0.044722 | id_loss 0.041096 | time 9.666667 | 
2021-03-20-15-00: epoch: 29 |loss -0.922647 | hm_loss 0.418893 | wh_loss 0.594247 | off_loss 0.044702 | id_loss 0.040269 | time 9.683333 | 
2021-03-20-15-09: epoch: 30 |loss -0.962544 | hm_loss 0.414899 | wh_loss 0.588914 | off_loss 0.044586 | id_loss 0.037257 | time 9.766667 | 
2021-03-20-15-19: epoch: 31 |loss -0.979811 | hm_loss 0.411333 | wh_loss 0.576052 | off_loss 0.044343 | id_loss 0.036471 | time 9.650000 | 
2021-03-20-15-29: epoch: 32 |loss -1.051038 | hm_loss 0.412056 | wh_loss 0.572235 | off_loss 0.043787 | id_loss 0.030782 | time 9.633333 | 
2021-03-20-15-38: epoch: 33 |loss -1.060285 | hm_loss 0.408858 | wh_loss 0.569245 | off_loss 0.043943 | id_loss 0.030842 | time 9.666667 | 
2021-03-20-15-48: epoch: 34 |loss -1.087737 | hm_loss 0.406147 | wh_loss 0.566127 | off_loss 0.043647 | id_loss 0.029364 | time 9.633333 | 
